Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"[SAO PAULO Day 1] SPEAK YOURSELF Stadium Concert"	"25.05.2019 15:00 PDT"	"07.07.2019"	"ONCERT DATE:<br>Saturday May 25, 2019 @ 7PM Local Time<br><br>Ticket sales for Sao Paulo go on sale on:<br>Monday, MARCH 11 @ 10am Brazil time<br><br><a href="https://www.livenation.lat/show/1251485/bts-world-tour-love-yourself-speak-yourself-/sao%20paulo/2019-05-25/es" target="_blank">Livenation event page</a><br><br><a href="http://bts.ibighit.com/btsworldtour/" target="_blank">http://bts.ibighit.com/btsworldtour/</a>"	""	"Allianz Parque, Av. Francisco Matarazzo, 1705 - Água Branca, Sã"
"[SAO PAULO Day 2] SPEAK YOURSELF Stadium Concert"	"26.05.2019 15:00 PDT"	"07.04.2019 07:00 PDT"	"ONCERT DATE:<br>Sunday May 26, 2019 @ 7PM Local Time<br><br>Ticket sales for Sao Paulo go on sale on:<br>Thursday, MARCH 14 @ 10am Brazil time<br><a href="http://eventim.com.br/bts" target="_blank">http://eventim.com.br/bts</a><br><br><a href="https://www.livenation.lat/show/1254391/bts-world-tour-love-yourself-speak-yourself-/sao%20paulo/2019-05-26/es" target="_blank">Livenation event page</a><br><br><a href="http://bts.ibighit.com/btsworldtour/" target="_blank">http://bts.ibighit.com/btsworldtour/</a>"	""	"Allianz Parque, Av. Francisco Matarazzo, 1705 - Água Branca, Sã"
"[PARIS Day 2] SPEAK YOURSELF Stadium Concert"	"08.06.2019 11:00 PDT"	"06.04.2019 07:00 PDT"	"CONCERT DATE:<br>Saturday June 8, 2019 @ 8PM local time<br><br>Ticket sales for Paris goes on sale on:<br>FRIDAY, MARCH 8 @ 9:00am localtime<br><br><a href="https://www.livenation.fr/show/1253644/bts-world-tour-love-yourself-speak-yourself-/paris/2019-06-08/fr" target="_blank" id="ow2454" __is_owner="true">LIVE NATION (FR) EVENT PAGE</a><br><a href="https://t.co/hpdfG8OIon" target="_blank">CLICK HERE FOR MORE INFO (STADE DE FRANCE)</a><br><br><a href="http://bts.ibighit.com/btsworldtour/" target="_blank">http://bts.ibighit.com/btsworldtour/</a>"	""	"Stade de France - Saint-Denis, Place aux étoiles, 93200 Saint-De"
"[PARIS Day 1] SPEAK YOURSELF Stadium Concert"	"07.06.2019 11:00 PDT"	"24.03.2019 05:00 PDT"	"CONCERT DATE:<br>Friday June 7, 2019 @ 8PM local time<br><br>Ticket sales for Paris goes on sale on:<br>FRIDAY, MARCH 1 @ 9:00am local time<br><br><a href="https://www.livenation.fr/show/1251601/bts-love-yourself-speak-yourself-world-tour/paris/2019-06-07/fr" target="_blank">LIVE NATION (FR) EVENT PAGE</a><br><a href="https://t.co/hpdfG8OIon" target="_blank">CLICK HERE FOR MORE INFO (STADE DE FRANCE)</a><br><br><a href="http://bts.ibighit.com/btsworldtour/" target="_blank">http://bts.ibighit.com/btsworldtour/</a>"	""	"Stade de France - Saint-Denis, Place aux étoiles, 93200 Saint-De"
"[LONDON DAY 1] SPEAK YOURSELF Stadium Concert"	"01.06.2019 11:30 PDT"	"23.03.2019 05:00 PDT"	"CONCERT DATE:<br>Saturday June 1, 2019 @ 7:30PM<br><br>Ticket sales for London goes on sale on @ <a href="http://thefa.com/tickets" id="ow12446" __is_owner="true">thefa.com/tickets:</a><br>FRIDAY, MARCH 1 @ 8:30am local time<br><br><a href="https://www.livenation.co.uk/show/1251602/bts-world-tour-love-yourself-speak-yourself-/london/2019-06-01/en" id="ow12374" __is_owner="true">LIVE NATION (UK) EVENT PAGE</a><br><a href="https://www.thefa.com/account/signup" id="ow12413" __is_owner="true">THEFA.COM ACCOUNTSIGNUP</a><br><a href="https://help.wembleystadium.com/support/solutions/articles/7000045011-ticket-information-" id="ow12432" __is_owner="true">CLICK HERE FOR WEMBLEY STADIUM FAQ</a><br><a href="goog_1626992310"><br></a><br><a href="http://bts.ibighit.com/btsworldtour/" id="ow12442" __is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"Wembley Stadium, Wembley HA9 6QU, UK"
"[LONDON DAY 2] SPEAK YOURSELF Stadium Concert"	"02.06.2019 11:30 PDT"	"21.03.2019 07:00 PDT"	"CONCERT DATE:<br>Sunday June 2, 2019 @ 7:30PM<br><br>Ticket sales for London goes on sale on @ <a href="http://thefa.com/tickets">thefa.com/tickets:</a><br>FRIDAY, MARCH 8 @ 8:30am local time<br><br><a href="https://www.livenation.co.uk/show/1251602/bts-world-tour-love-yourself-speak-yourself-/london/2019-06-01/en">LIVE NATION (UK) EVENT PAGE</a><br><a href="https://www.thefa.com/account/signup">THEFA.COM ACCOUNT SIGNUP</a><br><a href="https://help.wembleystadium.com/support/solutions/articles/7000045011-ticket-information-">CLICK HERE FOR WEMBLEY STADIUM FAQ</a><br><a href="goog_1626992310"><br></a><br><a href="http://bts.ibighit.com/btsworldtour/">http://bts.ibighit.com/btsworldtour/</a>"	""	"Wembley Stadium, Wembley HA9 6QU, UK"
"[NJ DAY 2] SPEAK YOURSELF Stadium Concert"	"19.05.2019 16:30 PDT"	"20.03.2019 07:00 PDT"	"<br>CONCERT DATE:<br>Sunday May 19, 2019 @ 7:30PM EDT<br><br>Ticket sales for New Jersey stop will go on sale @ <a href="https://www.ticketmaster.com/bts-world-tour-love-yourself-speak-yourself/event/0000565CE03B7599" id="ow1727" __is_owner="true">TICKETMASTER.COM</a> on:<br>FRIDAY, MARCH 8 @ 4pm EDT (1pm PDT / 2pm MDT / 3pm CDT)<br><br><a href="http://bts.ibighit.com/btsworldtour/">http://bts.ibighit.com/btsworldtour/</a>"	""	"MetLife Stadium Drive, MetLife Stadium Dr, East Rutherford, NJ "
"[NJ DAY 1] SPEAK YOURSELF Stadium Concert"	"18.05.2019 16:30 PDT"		"<br>CONCERT DATE:<br>Saturday May 18, 2019 @ 7:30PM EDT<br><br>Ticket sales for New Jersey stop will go on sale @ <a href="https://www1.ticketmaster.com/bts-world-tour-love-yourself-speak-yourself/event/0000564FE44A6CAA" id="ow11901" __is_owner="true">TICKETMASTER.COM</a> on:<br>FRIDAY, MARCH 1 @ 10am EDT (7am PDT / 8am MDT / 9am CDT)<br><br><a href="http://bts.ibighit.com/btsworldtour/" id="ow11914" __is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"MetLife Stadium Drive, MetLife Stadium Dr, East Rutherford, NJ "
"[CHI DAY 2] SPEAK YOURSELF Stadium Concert"	"12.05.2019 17:30 PDT"		"<br>CONCERT DATE:<br><br>Sunday May 12, 2019 @ 7:30PM CDT<br><br>Ticket sales for Chicago stop will go on sale @ <a href="https://www.ticketmaster.com/bts-world-tour-love-yourself-speak-yourself/event/0400565976BF1048" id="ow629" __is_owner="true">TICKETMASTER.COM</a> on:<br>FRIDAY, MARCH 8 @ 4pm CDT (2pm PDT / 3pm MDT / 5pm EDT)<br><br><a href="http://bts.ibighit.com/btsworldtour/">http://bts.ibighit.com/btsworldtour/</a>"	""	"Soldier Field, 1410 Museum Campus Dr, Chicago, IL 60605, USA"
"[CHI DAY 1] SPEAK YOURSELF Stadium Concert"	"11.05.2019 17:30 PDT"		"<br>CONCERT DATE:<br><br>Saturday May 11, 2019 @ 7:30PM CDT<br><br>Ticket sales for Chicago stop will go on sale @ <a href="https://www1.ticketmaster.com/bts-world-tour-love-yourself-speak-yourself/event/0400564F97E717CD" id="ow11678" __is_owner="true">TICKETMASTER.COM</a> on:<br>FRIDAY, MARCH 1 @ 10am CDT (8am PDT / 9am MDT / 11am EDT)<br><br><a href="http://bts.ibighit.com/btsworldtour/" id="ow11691" __is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"Soldier Field, 1410 Museum Campus Dr, Chicago, IL 60605, USA"
"[LA DAY 1] SPEAK YOURSELF Stadium Concert"	"04.05.2019 19:30 PDT"		"CONCERT DATE:<br>Saturday May 4, 2019 @ 7:30PM PDT<br><br>Ticket sales for Los Angeles/Pasadena stop will go on sale @ <a href="https://www1.ticketmaster.com/bts-world-tour-love-yourself-speak-yourself/event/0B00564FEB3D3A72" target="_blank">TICKETMASTER.COM</a> on:<br>FRIDAY, MARCH 1 @ 10am PDT (11am MDT / 12pm CDT / 1pm EDT)<br><br><a href="http://bts.ibighit.com/btsworldtour/" target="_blank">http://bts.ibighit.com/btsworldtour/</a>"	""	"Rose Bowl Stadium, 1001 Rose Bowl Dr, Pasadena, CA 91103, USA"
"[LA DAY 2] SPEAK YOURSELF Stadium Concert"	"05.05.2019 19:30 PDT"		"CONCERT DATE:<br>Sunday May 5, 2019 @ 7:30PM PDT<br><br>Ticketsales for Los Angeles/Pasadena stop will go on sale @ <a href="https://www1.ticketmaster.com/bts-world-tour-love-yourself-speak-yourself/event/0B00565CF4BD3C47" target="_blank" id="ow302" __is_owner="true">TICKETMASTER.COM</a> on:<br>FRIDAY, MARCH 8 @ 4pm PDT (5pmMDT / 6pm CDT / 7pm EDT)<br><br><ahref="http://bts.ibighit.com/btsworldtour/" target="_blank">http://bts.ibighit.com/btsworldtour/</a>"	""	"Rose Bowl Stadium, 1001 Rose Bowl Dr, Pasadena, CA 91103, USA"
"'LOVE YOURSELF' CONCERT IN FUKUOKA (DAY 2)"	"17.02.2019"		"Venue: Fukuoka Yafuoku! Dome"	""	""
"'LOVE YOURSELF' CONCERT IN FUKUOKA (DAY 1)"	"16.02.2019"		"Venue: Fukuoka Yafuoku! Dome"	""	""
"[SHIZUOKA DAY 2] SPEAK YOURSELF Stadium Concert"	"14.07.2019"		"<br><a href="http://bts.ibighit.com/btsworldtour/" id="ow13204"__is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"Ecopa Stadium, 2300-1 Aino, Fukuroi-shi, Shizuoka-ken 437-0031\"
"[SHIZUOKA DAY 1] SPEAK YOURSELF Stadium Concert"	"13.07.2019"		"<br><a href="http://bts.ibighit.com/btsworldtour/" id="ow13204"__is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"Ecopa Stadium, 2300-1 Aino, Fukuroi-shi, Shizuoka-ken 437-0031\"
"[OSAKA DAY 2] SPEAK YOURSELF Stadium Concert"	"07.07.2019"		"<br><a href="http://bts.ibighit.com/btsworldtour/" id="ow13204"__is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"Yanmar Stadium Nagai, 1-１ Nagaikōen, Higashisumiyoshi-ku, Ōsaka"
"[OSAKA DAY 1] SPEAK YOURSELF Stadium Concert"	"06.07.2019"		"<br><a href="http://bts.ibighit.com/btsworldtour/" id="ow13204"__is_owner="true">http://bts.ibighit.com/btsworldtour/</a>"	""	"Yanmar Stadium Nagai, 1-１ Nagaikōen, Higashisumiyoshi-ku, Ōsaka"
"[DAY 2] LOVE YOURSELF CONCERT IN BANGKOK"	"07.04.2019 05:00 PDT"		" Venue: Rajamangala National Stadium  CONCERT TIME: Sunday, April 7th, 2019 @ 7pm Thailand time  "	""	"Rajamangala National Stadium, 286 Soi Ramkhamhaeng 24 Yaek 18, K"
"[DAY 1] LOVE YOURSELF CONCERT IN BANGKOK"	"06.04.2019 05:00 PDT"		" Venue: Rajamangala National Stadium  CONCERT TIME: Saturday, April 6th, 2019 @ 7pm Thailand time  "	""	"Rajamangala National Stadium, 286 Soi Ramkhamhaeng 24 Yaek 18, K"
"[DAY 4] BTS 'LOVE YOURSELF' CONCERT IN HONG KONG"	"24.03.2019 03:00 PDT"		"Venue: Asiaworld-Expo Arena  CONCERT TIME: DAY 1: Wednesday, Mar. 20, 2019 @ 8PM DAY 2: Thursday, Mar. 21, 2019 @ 8PM Day 3: Saturday, Mar. 23, 2019 @ 6PM Day 4: Sunday, Mar. 24, 2019 @ 6PM"	""	"AsiaWorld-Expo, Chek Lap Kok, Hong Kong"
"[DAY 3] BTS 'LOVE YOURSELF' CONCERT IN HONG KONG"	"23.03.2019 03:00 PDT"		"Venue: Asiaworld-Expo Arena  CONCERT TIME: DAY 1: Wednesday, Mar. 20, 2019 @ 8PM DAY 2: Thursday, Mar. 21, 2019 @ 8PM Day 3: Saturday, Mar. 23, 2019 @ 6PM Day 4: Sunday, Mar. 24, 2019 @ 6PM"	""	"AsiaWorld-Expo, Chek Lap Kok, Hong Kong"
"[DAY 2] BTS 'LOVE YOURSELF' CONCERT IN HONG KONG"	"21.03.2019 05:00 PDT"		"Venue: Asiaworld-Expo Arena  CONCERT TIME: DAY 1: Wednesday, Mar. 20, 2019 @ 8PM DAY 2: Thursday, Mar. 21, 2019 @ 8PM Day 3: Saturday, Mar. 23, 2019 @ 6PM Day 4: Sunday, Mar. 24, 2019 @ 6PM"	""	"AsiaWorld-Expo, Chek Lap Kok, Hong Kong"
"[DAY 1] BTS 'LOVE YOURSELF' CONCERT IN HONG KONG"	"20.03.2019 05:00 PDT"		"Venue: Asiaworld-Expo Arena  CONCERT TIME: DAY 1: Wednesday, Mar. 20, 2019 @ 8PM DAY 2: Thursday, Mar. 21, 2019 @ 8PM Day 3: Saturday, Mar. 23, 2019 @ 6PM Day 4: Sunday, Mar. 24, 2019 @ 6PM"	""	"AsiaWorld-Expo, Chek Lap Kok, Hong Kong"

